tkearney91,0,0,I liked a @YouTube video http:// youtu.be/eMaInPix0_c?a Masters At Work featuring India 'To Be In Love' [Official Music Video],@YouTube,,956315220452003840,https://twitter.com/tkearney91/status/956315220452003840
casero_jba,0,0,India ’s Sacred Cow Now Threatens an $83 Billion Dairy Industry https://www. bloomberg.com/news/features/ 2018-01-23/india-s-sacred-cow-now-threatens-an-83-billion-dairy-industry …,,,956315166869684231,https://twitter.com/casero_jba/status/956315166869684231
teawithdev,1,2,"Welcome to India President #Duterte it's a great pleasure & Honor watching 2 Lions together, Both are number 1 enemy of terrorist and terrorism. Long Live India -Philippines Friendship #LLSLoveAndWar #ShowtimeMiyerkuLetsGoBes #ALDUBxPlatinumBukasNa #BantayMayon #Padmaavat pic.twitter.com/In8AHd8Q0Z",,#Duterte #LLSLoveAndWar #ShowtimeMiyerkuLetsGoBes #ALDUBxPlatinumBukasNa #BantayMayon #Padmaavat,956315164730523648,https://twitter.com/teawithdev/status/956315164730523648
kirankumaredem,0,0,Hello madam @SushmaSwaraj . Could you please help this family.. this guy is missing from 3 years. Family worried as Hyderabad student missing in London for last three years - Times of India http:// toi.in/uPbWtb/a24gj via @timesofindia,@SushmaSwaraj @timesofindia,,956315140953133058,https://twitter.com/kirankumaredem/status/956315140953133058
sitiwisu1982,0,0,spank swingers porn dani woodward girl on girl action cock cum india xxx reverse cowgirl porn redhead milf milf lesbians https:// twitter.com/ningmastesu198 7/status/940006302264074240 …,,,956315130094120965,https://twitter.com/sitiwisu1982/status/956315130094120965
KamtaRohit,0,1,Kashmir are not a part of India I'm not say it. it seen from policies of govt. Pellets and bullets Indian Govt used For There immoral people but Why are not using Here ?(One Country one rule) If Indian govt want to claim me of anti nationalism then I'm rady pic.twitter.com/pKSclxdhNf,,,956315124163211265,https://twitter.com/KamtaRohit/status/956315124163211265
shardaroma,0,0,If You Really Love India Then Must Watch it. https:// youtu.be/59QGe5o73CA via @YouTube,@YouTube,,956315103174975488,https://twitter.com/shardaroma/status/956315103174975488
UncleIllya,0,0,Comrades in India moving forward! #RedSalute to the CPI(M)! https:// twitter.com/CPIMWestTripur a/status/955827199617122310 …,,#RedSalute,956315100427771904,https://twitter.com/UncleIllya/status/956315100427771904
asfast,0,0,Police forces across India have reinforced security for the opening of a film that has prompted threats of mass suicide and murder. https:// nyti.ms/2GcyWrA,,,956315092605329408,https://twitter.com/asfast/status/956315092605329408
GQAdonisCTO,0,0,India 's First Ever Chat Based Job Search Mobile App ‘Empzilla’ Launched http:// upflow.co/l/Klau pic.twitter.com/qOQdNktLCp,,,956315090793517056,https://twitter.com/GQAdonisCTO/status/956315090793517056
